epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.0017,0.09773,0.98044,1,0.03741,0.0001785,0.0001785,0.0001785
2,40.5049,0.10422,0.98778,1,0.03321,0.000346115,0.000346115,0.000346115
3,57.853,0.09523,0.98533,1,0.04565,0.000495352,0.000495352,0.000495352
4,76.08,0.11507,0.97311,0.99756,0.10191,0.000607971,0.000607971,0.000607971
5,93.9714,0.11211,0.97555,1,0.06401,0.000572628,0.000572628,0.000572628
6,111.218,0.12132,0.96577,1,0.06934,0.000537285,0.000537285,0.000537285
7,128.247,0.11514,0.99022,1,0.03043,0.000501942,0.000501942,0.000501942
8,147.227,0.08802,0.98778,1,0.03554,0.000466599,0.000466599,0.000466599
9,165.107,0.08376,0.98778,1,0.03527,0.000431256,0.000431256,0.000431256
10,182.658,0.09036,0.978,1,0.06434,0.000395913,0.000395913,0.000395913
11,202.521,0.08564,0.98533,1,0.0451,0.00036057,0.00036057,0.00036057
12,220.648,0.08163,0.98289,1,0.02561,0.000325227,0.000325227,0.000325227
13,238.581,0.0712,0.98533,1,0.02433,0.000289884,0.000289884,0.000289884
14,256.341,0.07506,0.99022,1,0.02589,0.000254541,0.000254541,0.000254541
15,275.317,0.06244,0.98533,1,0.05271,0.000219198,0.000219198,0.000219198
16,292.701,0.05693,0.99267,1,0.02046,0.000183855,0.000183855,0.000183855
17,310.389,0.05988,0.99267,1,0.02458,0.000148512,0.000148512,0.000148512
18,329.312,0.06403,0.99022,1,0.02573,0.000113169,0.000113169,0.000113169
19,346.508,0.04901,0.99267,1,0.02446,7.7826e-05,7.7826e-05,7.7826e-05
20,363.781,0.06399,0.99022,1,0.03043,4.2483e-05,4.2483e-05,4.2483e-05
